district,season,rainfall_mm,avg_temp_C,humidity_%,pH,N_kg_ha,P_kg_ha,K_kg_ha,crop
Shivamogga,Year-round,1419.4,19.6,48.3,5.79,91.76,34.24,64.57,Paddy
Bagalkote,Kharif,613.5,31.1,57.2,8.09,19.44,15.49,15.04,Pulses
Mysuru,Rabi,964.7,27.1,70.0,6.3,107.27,33.08,55.5,Paddy
Chitradurga,Rabi,571.8,33.1,58.9,6.73,120.23,46.47,71.45,Maize
Belagavi,Rabi,1186.9,25.0,94.1,6.23,176.44,80.98,166.17,Arecanut
Belagavi,Rabi,1070.5,23.9,77.7,7.49,145.39,58.92,185.88,Arecanut
Gadag,Kharif,563.8,22.5,45.2,7.78,89.86,31.72,42.29,Cotton
Mandya,Rabi,901.2,27.8,46.1,6.96,48.43,26.97,78.92,Vegetables
Ramanagara,Year-round,712.6,29.8,75.9,7.23,111.31,34.81,69.75,Maize
Udupi,Kharif,3397.5,25.0,56.5,6.19,226.58,154.75,313.01,Banana
Udupi,Kharif,2595.5,30.3,72.9,5.65,118.85,48.47,66.65,Paddy
Shivamogga,Rabi,1722.3,30.5,64.4,5.36,157.9,49.9,146.36,Sugarcane
Dakshina Kannada,Rabi,2975.3,28.5,92.3,5.11,187.98,64.66,239.07,Arecanut
Haveri,Kharif,613.7,23.7,43.8,6.61,12.0,19.28,12.01,Pulses
Bagalkote,Year-round,774.8,28.9,65.1,8.02,14.5,11.45,11.47,Pulses
Ramanagara,Rabi,947.1,33.3,85.2,6.38,31.69,33.52,33.8,Groundnut
Haveri,Rabi,801.9,25.3,45.3,7.92,97.55,46.79,64.04,Maize
Ramanagara,Kharif,874.7,23.9,60.1,6.49,116.15,48.26,48.74,Maize
Shivamogga,Kharif,1037.1,23.4,48.8,6.33,44.42,42.87,72.32,Vegetables
Haveri,Rabi,702.1,28.5,37.7,7.08,69.02,36.88,32.78,Jowar
Kalaburagi,Kharif,417.3,28.8,43.5,6.48,110.16,43.5,155.48,Sugarcane
Bagalkote,Rabi,645.5,33.6,75.5,7.79,32.58,53.81,34.93,Groundnut
Mandya,Kharif,873.2,32.1,79.0,8.11,111.63,49.35,87.39,Vegetables
Chitradurga,Rabi,723.3,22.9,74.2,5.54,55.28,5.6,35.55,Sorghum
Mandya,Kharif,726.6,26.8,33.9,6.42,84.8,26.98,119.72,Sugarcane
Chitradurga,Year-round,535.7,32.9,43.6,5.62,8.57,19.24,21.7,Pulses
Belagavi,Kharif,1066.6,31.6,81.9,7.76,30.22,41.29,34.27,Groundnut
Haveri,Kharif,855.1,24.5,62.9,7.42,57.15,25.01,32.49,Jowar
Chitradurga,Kharif,684.6,26.4,62.2,6.16,61.92,14.78,31.34,Sorghum
Chitradurga,Year-round,644.6,24.1,70.6,6.29,41.29,27.52,20.87,Sorghum
Haveri,Kharif,867.0,30.5,33.1,7.2,23.54,56.18,26.65,Groundnut
Gadag,Rabi,742.1,28.4,57.3,6.62,23.92,40.22,39.1,Groundnut
Shivamogga,Summer,1908.8,20.3,66.2,5.24,64.34,58.29,116.27,Vegetables
Shivamogga,Rabi,1014.5,18.1,59.6,6.09,116.06,64.61,225.72,Arecanut
Mandya,Year-round,807.1,31.0,42.6,6.58,42.08,58.97,53.12,Vegetables
Gadag,Kharif,566.3,22.5,31.8,7.36,34.85,36.93,29.01,Groundnut
Mysuru,Summer,932.6,30.0,51.4,7.87,29.54,48.05,51.99,Groundnut
Hassan,Kharif,1061.9,19.8,88.2,6.46,53.1,61.06,110.11,Coffee
Shivamogga,Summer,2167.7,21.2,56.7,6.27,103.48,32.2,135.7,Sugarcane
Bagalkote,Summer,742.5,32.2,39.1,7.38,38.85,38.15,33.8,Groundnut
Haveri,Rabi,752.7,26.4,76.6,8.04,37.36,48.67,38.22,Groundnut
Bagalkote,Kharif,774.3,30.7,69.8,8.01,24.41,12.93,26.25,Pulses
Udupi,Rabi,3323.3,24.9,56.9,5.61,117.18,26.9,78.09,Paddy
Udupi,Rabi,3149.2,28.9,58.3,6.01,59.59,26.23,38.54,Coconut
Kalaburagi,Kharif,625.3,25.4,43.9,8.14,17.03,12.54,12.95,Pulses
Haveri,Rabi,811.4,27.1,47.3,6.74,10.22,16.92,19.65,Pulses
Gadag,Year-round,622.4,22.2,59.1,7.88,28.06,25.84,38.84,Groundnut
Udupi,Kharif,3622.6,31.1,63.9,5.96,98.5,26.47,82.07,Paddy
Dharwad,Summer,978.1,21.5,82.0,6.52,128.25,32.71,48.93,Maize
Dakshina Kannada,Rabi,3763.4,30.1,77.7,5.77,90.16,32.73,43.87,Paddy
Dharwad,Year-round,948.6,31.1,56.9,7.95,20.85,30.64,40.77,Groundnut
Mandya,Rabi,850.9,22.7,72.9,7.08,120.13,44.9,62.03,Paddy
Kalaburagi,Kharif,453.8,33.7,41.5,6.91,124.84,54.25,105.65,Sugarcane
Bagalkote,Kharif,740.4,25.7,55.0,6.43,42.35,37.43,42.64,Groundnut
Dakshina Kannada,Rabi,3256.9,28.9,53.9,5.73,241.34,121.17,336.95,Banana
Dharwad,Rabi,990.4,20.9,75.7,8.19,123.94,32.82,36.34,Wheat
Haveri,Kharif,705.2,26.5,33.4,7.62,94.79,23.09,66.73,Maize
Mandya,Year-round,845.2,20.1,70.2,7.7,43.02,25.99,38.49,Ragi
Gadag,Rabi,701.3,30.7,67.1,8.02,46.63,24.0,33.48,Jowar
Bagalkote,Kharif,685.0,33.1,55.4,7.79,107.09,49.3,136.02,Sugarcane
Gadag,Rabi,733.4,32.7,39.4,6.26,19.44,17.61,13.79,Pulses
Mysuru,Rabi,1122.7,30.0,94.9,7.77,99.0,40.11,111.39,Sugarcane
Mysuru,Summer,1196.3,28.6,64.3,8.06,79.3,53.22,59.07,Paddy
Chitradurga,Kharif,552.9,35.9,79.1,5.62,28.84,24.1,24.83,Pulses
Dharwad,Kharif,820.6,22.2,58.6,6.91,35.69,38.22,52.82,Groundnut
Bagalkote,Rabi,760.5,34.0,31.5,7.89,127.9,45.36,39.34,Wheat
Udupi,Rabi,3697.4,25.3,56.5,6.01,128.89,58.16,171.97,Arecanut
Mysuru,Rabi,1029.7,27.3,82.7,8.18,112.48,43.7,140.87,Sugarcane
Mandya,Kharif,846.8,30.4,54.6,7.01,142.28,42.59,137.13,Sugarcane
Chitradurga,Rabi,665.4,24.0,58.5,7.4,69.25,23.6,35.53,Cotton
Kalaburagi,Summer,662.2,27.5,43.2,7.12,23.74,26.1,16.05,Pulses
Udupi,Year-round,3881.1,22.4,56.0,5.7,55.82,34.06,74.17,Cashew
Belagavi,Rabi,1046.1,30.9,68.0,7.08,24.16,36.9,39.84,Groundnut
Mysuru,Rabi,819.8,28.1,35.6,7.8,39.43,33.58,37.33,Mango
Bagalkote,Rabi,646.9,27.5,31.5,7.42,51.27,22.18,28.63,Sorghum
Mysuru,Rabi,1178.9,30.4,80.6,7.45,50.97,22.8,44.86,Mango
Udupi,Kharif,2618.4,26.4,54.4,5.09,173.24,56.24,206.63,Arecanut
Bagalkote,Summer,630.1,33.7,52.3,7.7,9.92,20.92,30.63,Pulses
Udupi,Year-round,2907.4,23.9,50.2,5.43,56.06,25.89,76.66,Cashew
Gadag,Kharif,630.2,24.3,35.8,7.52,56.61,25.97,39.97,Jowar
Chitradurga,Kharif,664.3,34.6,50.0,6.57,51.28,22.7,30.0,Sorghum
Belagavi,Kharif,971.4,28.8,85.3,7.06,63.25,28.25,50.37,Rice
Bagalkote,Rabi,768.8,28.8,55.7,6.74,132.89,27.83,111.49,Sugarcane
Mysuru,Kharif,820.2,24.0,71.6,8.06,86.92,40.75,65.57,Paddy
Bagalkote,Year-round,735.3,29.9,60.2,7.74,131.18,51.4,90.16,Sugarcane
Gadag,Rabi,687.6,32.5,40.9,8.06,54.31,26.52,28.25,Jowar
Belagavi,Kharif,832.6,23.1,31.4,6.79,99.51,55.8,98.82,Sugarcane
Chitradurga,Rabi,665.5,30.9,59.7,5.81,61.42,13.25,18.44,Sorghum
Shivamogga,Rabi,1658.6,23.3,73.4,5.14,28.0,16.99,23.62,Millets
Hassan,Kharif,1012.7,28.5,94.8,7.01,172.14,59.73,173.1,Arecanut
Dharwad,Rabi,740.0,28.9,36.4,7.95,45.66,47.32,51.77,Groundnut
Dakshina Kannada,Kharif,2373.3,22.3,55.6,5.19,140.41,31.79,52.93,Paddy
Mysuru,Kharif,1034.2,25.6,44.7,7.84,36.93,63.97,45.22,Groundnut
Belagavi,Kharif,900.9,23.7,73.8,7.13,27.56,23.44,29.43,Pulses
Udupi,Kharif,3029.7,30.0,70.5,5.62,171.94,79.08,223.51,Arecanut
Shivamogga,Year-round,1264.6,26.8,71.4,6.0,77.31,31.3,27.35,Coconut
Ramanagara,Kharif,713.7,33.1,72.1,5.78,91.45,36.88,55.12,Maize
Dakshina Kannada,Kharif,3979.0,28.8,92.2,5.01,56.28,22.6,36.67,Coconut
Shivamogga,Rabi,1587.6,23.8,41.3,5.47,32.98,17.14,33.82,Millets
Belagavi,Kharif,1132.2,22.7,62.0,6.87,102.99,42.89,60.23,Maize
Kalaburagi,Kharif,440.6,33.5,49.8,7.04,98.79,32.9,62.97,Paddy
Mysuru,Rabi,864.6,24.6,57.7,7.33,41.89,33.01,54.05,Mango
Chitradurga,Kharif,699.1,32.3,60.5,6.88,73.72,36.06,53.53,Maize
Shivamogga,Rabi,1027.1,30.1,71.7,6.12,165.82,64.66,193.82,Arecanut
Hassan,Year-round,1150.2,21.6,87.2,8.09,84.52,55.53,79.63,Vegetables
Kalaburagi,Kharif,439.5,33.9,67.1,6.31,79.72,49.33,58.97,Paddy
Dakshina Kannada,Kharif,2766.8,23.7,86.0,5.91,47.82,31.86,41.5,Coconut
Kalaburagi,Rabi,612.8,25.5,71.9,7.65,120.01,50.72,69.69,Paddy
Shivamogga,Kharif,1056.6,31.5,77.4,5.59,41.79,34.8,47.34,Coconut
Mandya,Kharif,992.7,25.2,59.6,7.21,104.23,22.73,71.77,Paddy
Mandya,Kharif,925.6,27.2,57.6,6.61,134.78,37.63,113.73,Sugarcane
Haveri,Rabi,636.1,22.8,66.2,6.9,27.53,49.26,41.9,Groundnut
Hassan,Year-round,844.2,18.4,79.7,7.55,94.72,46.15,66.08,Vegetables
Mandya,Kharif,845.0,33.8,67.7,6.89,61.21,18.81,41.22,Coconut
Dakshina Kannada,Kharif,3637.7,25.4,85.5,5.63,51.81,22.8,25.72,Coconut
Mandya,Rabi,732.0,33.3,33.0,7.77,30.77,14.05,24.87,Ragi
Mandya,Rabi,750.3,24.3,55.2,7.29,135.9,43.55,91.14,Sugarcane
Hassan,Rabi,815.9,21.3,77.8,6.48,116.53,46.15,127.44,Sugarcane
Vijayapura,Kharif,552.8,32.8,39.6,6.83,57.89,21.31,28.21,Sorghum
Mandya,Kharif,878.9,31.4,49.1,7.49,90.12,35.46,54.18,Paddy
Udupi,Year-round,3414.7,24.4,61.3,5.46,136.29,59.26,161.37,Arecanut
Mandya,Kharif,864.0,32.4,57.7,7.72,69.44,43.22,47.4,Paddy
Hassan,Rabi,819.8,21.1,53.3,6.88,140.19,32.38,100.16,Sugarcane
Mysuru,Kharif,1122.0,29.8,61.7,7.7,85.03,41.79,70.59,Vegetables
Dakshina Kannada,Kharif,3498.7,27.5,51.2,6.45,174.44,51.32,159.28,Arecanut
Dharwad,Kharif,842.5,32.6,56.3,6.61,98.99,48.54,29.83,Wheat
Mandya,Kharif,726.4,30.9,72.4,7.27,71.3,36.13,87.55,Vegetables
Belagavi,Rabi,816.6,23.9,58.0,7.64,106.94,43.07,67.71,Maize
Dakshina Kannada,Rabi,2105.7,29.3,46.7,5.25,67.84,18.98,56.36,Coconut
Ramanagara,Kharif,918.3,32.8,81.9,6.89,82.87,38.61,74.7,Maize
Kalaburagi,Kharif,555.8,26.8,70.3,7.32,30.8,14.46,11.57,Pulses
Chitradurga,Rabi,509.1,22.7,71.7,5.59,111.62,41.53,58.71,Maize
Ramanagara,Kharif,799.7,23.0,35.3,6.16,89.39,35.74,67.94,Maize
Shivamogga,Kharif,1909.3,21.9,57.5,5.37,52.17,20.04,32.31,Millets
Shivamogga,Rabi,1244.2,28.8,63.4,6.22,70.89,50.7,75.43,Vegetables
Vijayapura,Kharif,671.6,24.9,49.4,7.07,13.77,14.06,24.63,Pulses
Hassan,Rabi,1102.5,22.7,73.5,6.54,48.03,17.59,28.34,Ragi
Kalaburagi,Kharif,575.0,36.4,37.6,7.02,148.46,47.32,154.71,Sugarcane
Mandya,Summer,815.8,33.5,64.9,7.96,68.95,50.2,38.3,Vegetables
Chitradurga,Rabi,617.9,25.2,38.3,7.55,107.95,36.72,46.21,Maize
Vijayapura,Kharif,505.3,24.6,31.1,7.06,106.47,64.85,169.18,Grapes
Chitradurga,Rabi,542.6,27.4,47.3,6.83,61.24,17.72,40.07,Sorghum
Belagavi,Kharif,1033.2,28.6,60.5,6.69,116.48,34.15,137.91,Sugarcane
Chitradurga,Kharif,578.9,28.9,46.0,6.52,25.67,34.14,41.38,Groundnut
Gadag,Rabi,682.2,23.2,63.8,7.88,21.58,16.59,16.84,Pulses
Vijayapura,Rabi,515.3,25.9,77.7,6.78,98.72,43.78,59.79,Onion
Kalaburagi,Kharif,611.2,27.0,48.3,7.21,120.25,39.66,97.77,Sugarcane
Gadag,Rabi,607.9,31.6,45.6,6.86,51.26,22.1,31.43,Jowar
Gadag,Rabi,743.5,26.1,52.3,8.03,62.07,26.02,39.34,Sorghum
Haveri,Rabi,832.8,31.7,68.4,7.49,89.67,24.39,42.28,Cotton
Shivamogga,Rabi,1312.1,23.4,91.9,6.1,49.81,20.32,22.56,Millets
Hassan,Kharif,850.1,25.9,32.0,7.12,99.62,65.77,120.59,Coffee
Dharwad,Rabi,714.6,31.8,51.9,7.36,23.2,9.64,20.49,Pulses
Mandya,Kharif,717.1,28.2,72.0,7.39,114.63,44.82,50.37,Paddy
Vijayapura,Kharif,642.1,28.4,77.9,6.55,77.86,57.78,87.76,Onion
Belagavi,Rabi,837.2,21.7,35.2,6.4,127.82,39.67,43.36,Maize
Hassan,Rabi,1069.7,29.8,94.2,7.76,64.08,73.12,108.41,Coffee
Shivamogga,Kharif,1850.3,28.2,49.6,5.8,104.0,38.65,75.65,Vegetables
Mandya,Kharif,888.4,31.6,50.8,7.18,49.16,16.7,28.15,Ragi
Ramanagara,Rabi,998.7,25.7,66.7,7.15,98.61,47.72,76.49,Tomato
Hassan,Year-round,1049.2,23.4,82.8,7.62,134.79,52.92,221.94,Arecanut
Belagavi,Kharif,1157.0,20.9,58.2,6.68,29.79,15.31,14.45,Pulses
Belagavi,Year-round,807.9,30.6,78.3,6.52,45.35,21.98,37.88,Rice
Mysuru,Rabi,1049.0,22.3,60.3,7.01,45.04,23.98,33.4,Ragi
Chitradurga,Summer,726.9,23.2,76.8,7.46,84.93,33.5,41.91,Cotton
Haveri,Kharif,888.7,28.2,33.6,8.16,61.0,36.95,43.52,Cotton
Hassan,Kharif,853.0,24.6,57.3,6.46,114.54,33.81,126.34,Sugarcane
Belagavi,Kharif,942.4,29.5,52.9,6.45,78.62,43.1,68.91,Maize
Haveri,Kharif,728.3,23.9,65.0,8.07,92.84,42.23,78.76,Maize
Belagavi,Rabi,895.3,29.5,54.3,7.12,15.19,18.4,15.47,Pulses
Kalaburagi,Rabi,476.4,30.8,50.4,7.25,47.47,25.32,29.52,Jowar
Udupi,Kharif,2865.2,30.4,51.5,5.98,204.24,105.9,302.14,Banana
Belagavi,Year-round,820.5,26.0,36.2,6.51,88.83,29.45,130.93,Sugarcane
Chitradurga,Rabi,689.2,30.5,38.3,5.9,85.94,35.2,38.91,Cotton
Mysuru,Kharif,1020.0,26.7,76.5,8.16,27.94,46.53,37.23,Groundnut
Dharwad,Rabi,933.4,25.4,64.4,6.92,73.93,27.27,79.93,Maize
Hassan,Kharif,877.3,29.4,50.4,6.69,154.36,58.25,216.32,Arecanut
Ramanagara,Kharif,772.1,25.5,52.8,7.41,106.32,98.14,119.15,Mulberry
Kalaburagi,Rabi,673.7,26.9,32.0,6.26,75.37,36.86,44.16,Sunflower
Bagalkote,Year-round,711.5,31.4,44.0,7.59,100.48,41.03,136.63,Sugarcane
Mandya,Kharif,851.5,33.8,53.3,7.64,52.03,47.9,96.97,Vegetables
Belagavi,Rabi,846.8,26.3,36.3,8.1,15.92,35.44,19.22,Pulses
Kalaburagi,Rabi,666.5,30.4,60.3,7.32,65.14,26.57,31.18,Sunflower
Hassan,Rabi,1024.0,22.6,63.1,8.04,143.6,63.29,186.37,Arecanut
Dakshina Kannada,Kharif,3763.4,31.4,80.7,5.07,182.14,106.33,287.19,Banana
Kalaburagi,Rabi,509.8,35.3,56.2,7.73,131.84,38.78,139.54,Sugarcane
Haveri,Kharif,711.4,28.0,66.3,7.84,72.52,25.16,66.53,Cotton
Gadag,Kharif,666.8,31.8,50.6,6.88,22.83,15.03,31.32,Pulses
Mandya,Rabi,726.6,32.1,46.0,6.84,52.09,26.74,25.38,Coconut
Bagalkote,Kharif,712.4,31.4,63.1,7.69,88.46,26.33,40.61,Cotton
Dakshina Kannada,Rabi,3985.7,26.1,55.8,5.86,66.7,42.07,71.06,Paddy
Mysuru,Summer,1020.2,29.6,56.7,8.12,39.86,24.65,24.36,Mango
Haveri,Year-round,617.1,23.3,41.0,7.05,5.68,14.26,22.38,Pulses
Chitradurga,Year-round,513.0,22.2,69.8,6.61,22.02,40.66,42.24,Groundnut
Shivamogga,Rabi,1236.7,21.0,77.2,6.38,65.22,28.51,38.13,Coconut
Haveri,Rabi,785.7,23.9,78.4,6.65,36.99,11.99,25.99,Jowar
Mandya,Kharif,834.0,20.1,71.0,8.11,116.91,23.56,73.78,Paddy
Bagalkote,Year-round,709.3,28.4,67.4,7.87,23.14,22.36,21.6,Pulses
Mandya,Rabi,841.2,22.2,31.6,7.53,78.21,51.48,76.43,Vegetables
Ramanagara,Year-round,987.9,30.7,73.2,5.85,53.38,30.92,36.53,Ragi
Vijayapura,Year-round,626.0,30.2,71.8,7.77,18.23,11.07,30.79,Pulses
Udupi,Rabi,3899.0,25.8,80.1,5.73,70.72,40.13,90.35,Cashew
Ramanagara,Summer,774.1,32.4,75.5,5.8,155.84,90.34,137.97,Mulberry
Chitradurga,Year-round,684.6,26.7,68.3,6.21,48.3,6.06,37.83,Sorghum
Haveri,Summer,707.0,29.1,71.8,7.03,11.16,23.23,23.29,Pulses
Mandya,Rabi,797.4,33.2,44.1,7.68,52.45,19.04,31.35,Ragi
Dakshina Kannada,Rabi,2252.6,31.5,47.3,6.13,180.44,102.66,194.23,Rubber
Udupi,Rabi,3116.4,28.3,78.5,5.39,61.53,42.71,77.87,Cashew
Mysuru,Kharif,951.3,28.5,45.3,7.2,107.93,42.66,50.39,Paddy
Dakshina Kannada,Kharif,3542.4,24.3,90.7,5.84,39.33,35.49,60.04,Coconut
Hassan,Year-round,1125.1,24.5,47.2,6.43,91.87,42.8,58.44,Paddy
Ramanagara,Kharif,822.0,24.1,69.7,5.84,70.43,41.96,62.41,Maize
Chitradurga,Kharif,610.6,22.6,57.2,7.02,27.66,23.41,45.31,Groundnut
Vijayapura,Rabi,535.4,24.7,63.4,8.03,119.21,40.56,131.32,Sugarcane
Haveri,Summer,631.8,27.9,38.0,7.06,60.15,40.18,47.51,Maize
Shivamogga,Rabi,1037.5,31.5,69.0,5.66,123.47,46.42,186.72,Arecanut
Udupi,Year-round,3182.4,26.7,78.9,5.82,189.07,131.3,310.23,Banana
Hassan,Rabi,839.8,25.3,36.0,6.38,73.91,56.54,155.68,Coffee
Haveri,Summer,697.6,23.1,78.8,7.82,71.17,19.71,38.9,Cotton
Chitradurga,Kharif,597.6,27.8,53.5,7.03,80.4,35.3,72.34,Maize
Ramanagara,Rabi,763.1,18.4,74.8,6.97,68.78,43.8,67.0,Tomato
Vijayapura,Year-round,749.7,32.5,50.2,8.03,43.33,14.72,15.15,Sorghum
Chitradurga,Kharif,709.2,31.1,60.7,6.64,59.09,15.61,14.5,Sorghum
Mandya,Kharif,741.5,26.2,54.8,7.4,112.94,40.51,86.08,Vegetables
Hassan,Kharif,934.7,24.8,87.4,7.87,40.47,22.61,31.28,Ragi
Mysuru,Kharif,1178.6,23.8,58.0,6.77,95.33,51.94,91.63,Vegetables
Shivamogga,Year-round,1200.2,18.7,82.9,5.61,113.32,39.73,61.21,Paddy
